1704382477982|245|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT id,username,password,enable,createTime,updateTime FROM "USER" WHERE id=?|SELECT id,username,password,enable,createTime,updateTime FROM "USER" WHERE id=1
1704382477982|245|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT  id,code,name,enable  FROM role      WHERE  (code = ?)|SELECT  id,code,name,enable  FROM role      WHERE  (code = 'SUPER_ADMIN')
1704382478013|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT  id,gender,avatar,address,email,userId,nickName  FROM profile      WHERE  (userId = ?)|SELECT  id,gender,avatar,address,email,userId,nickName  FROM profile      WHERE  (userId = 1)
1704382478015|3|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT  id,name,code,type,parentId,path,redirect,icon,component,layout,keepAlive,method,description,show,enable,"order"  FROM permission|SELECT  id,name,code,type,parentId,path,redirect,icon,component,layout,keepAlive,method,description,show,enable,"order"  FROM permission
1704382478019|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|select *         from role r         where r.id in (select urr.roleId from user_roles_role urr where urr.userId = ?)|select *         from role r         where r.id in (select urr.roleId from user_roles_role urr where urr.userId = 1)
1704382478326|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT  id,code,name,enable  FROM role      WHERE  (enable = ?)|SELECT  id,code,name,enable  FROM role      WHERE  (enable = true)
1704382478456|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT COUNT(*) AS total FROM "USER"|SELECT COUNT(*) AS total FROM "USER"
1704382478464|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT * FROM ( SELECT TMP.*, ROWNUM ROW_ID FROM ( SELECT  id,username,password,enable,createTime,updateTime  FROM "USER" ) TMP WHERE ROWNUM <=?) WHERE ROW_ID > ?|SELECT * FROM ( SELECT TMP.*, ROWNUM ROW_ID FROM ( SELECT  id,username,password,enable,createTime,updateTime  FROM "USER" ) TMP WHERE ROWNUM <=10) WHERE ROW_ID > 0
1704382478470|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT  id,gender,avatar,address,email,userId,nickName  FROM profile      WHERE  (userId = ?)|SELECT  id,gender,avatar,address,email,userId,nickName  FROM profile      WHERE  (userId = 1)
1704382478474|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|select *         from role r         where r.id in (select urr.roleId from user_roles_role urr where urr.userId = ?)|select *         from role r         where r.id in (select urr.roleId from user_roles_role urr where urr.userId = 1)
1704382493066|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|SELECT COUNT( * ) AS total FROM "USER"      WHERE  (username = ?)|SELECT COUNT( * ) AS total FROM "USER"      WHERE  (username = 'test001')
1704382493224|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|INSERT INTO "USER"  ( username, password, enable )  VALUES (  ?, ?, ?  )|INSERT INTO "USER"  ( username, password, enable )  VALUES (  'test001', '$2a$10$Pf3JP6BkOYRRO2h54BuntOaM0MNNg87j17TGo1MK3eXfrZ7AOXFeG', true  )
1704382493241|11|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE|INSERT INTO profile  ( userId )  VALUES (  ?  )|INSERT INTO profile  ( userId )  VALUES (  2  )
1704382493304|3|rollback|connection 0|url jdbc:p6spy:oracle:thin:@localhost:46333:XE||
